Attraction,Lat,Long,Type
Acropolis/ Parthenon,37.971482,23.726844,Attraction
Odeon of Herodes Atticus,37.970767,23.724554,Attraction
Plaka,37.97357,23.728003,Venture
Panathenaic Stadium,37.968224,23.74117,Attraction
Exarchia neighbourhood,37.986334,23.736394,Venture
TEMPLE OF OLYMPIAN ZEUS,37.969241,23.733127,Attraction
Theater of Dionysus,37.970349,23.72778,Attraction
Arch of Hadrian,37.970172,23.731985,Attraction
Psiriï¿½neighbourhood,37.978683,23.724656,Venture
Monastiraki Market,37.976258,23.725555,Attraction
Acropolis Museum,37.968425,23.728544,Attraction
Areopagus Hill,37.972289,23.723254,Attraction
Philopappos Monument,37.967282,23.721444,Attraction
AGIOS NIKOLAOS RAGAVAS CHURCH,37.972479,23.729125,Attraction
ANAFIOTIKA,37.969857,23.725029,Venture
BRETTOS,37.971736,23.730487,Bar
Herodus Atticus theatre,37.970708,23.724602,Attraction
